iter	Passed	Remaining
0	4	428
1	8	405
2	12	390
3	15	366
4	18	358
5	22	350
6	26	349
7	29	335
8	31	320
9	34	307
10	36	291
11	37	277
12	39	265
13	41	255
14	43	245
15	44	235
16	46	225
17	47	216
18	48	207
19	49	199
20	51	193
21	52	186
22	53	179
23	54	173
24	55	167
25	56	161
26	57	156
27	59	151
28	59	146
29	60	141
30	61	137
31	62	133
32	63	128
33	64	124
34	65	121
35	66	117
36	66	113
37	67	110
38	68	107
39	69	104
40	70	101
41	70	97
42	71	94
43	72	91
44	73	89
45	74	86
46	74	84
47	75	81
48	76	79
49	77	77
50	78	75
51	78	72
52	79	70
53	80	68
54	81	66
55	82	64
56	82	62
57	83	60
58	84	58
59	85	56
60	86	55
61	87	53
62	87	51
63	88	49
64	89	48
65	90	46
66	91	44
67	92	43
68	92	41
69	93	40
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	98	31
76	99	29
77	100	28
78	101	26
79	102	25
80	103	24
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	118	0
