iter	Passed	Remaining
0	142	142239
1	144	71915
2	146	48800
3	152	37920
4	156	31159
5	158	26276
6	161	22956
7	165	20516
8	170	18753
9	176	17471
10	179	16169
11	183	15078
12	186	14189
13	189	13340
14	193	12696
15	196	12065
16	197	11422
17	198	10838
18	200	10332
19	201	9863
20	205	9582
21	207	9218
22	209	8880
23	210	8550
24	211	8244
25	212	7960
26	213	7711
27	215	7464
28	216	7242
29	218	7050
30	219	6849
31	222	6721
32	226	6638
33	230	6536
34	232	6404
35	234	6274
36	241	6275
37	248	6294
38	250	6170
39	256	6162
40	263	6162
41	265	6060
42	279	6217
43	285	6205
44	287	6102
45	294	6112
46	306	6215
47	310	6161
48	312	6073
49	316	6008
50	327	6096
51	332	6058
52	335	5997
53	345	6056
54	359	6176
55	367	6190
56	370	6121
57	372	6054
58	381	6077
59	385	6037
60	387	5965
61	392	5942
62	400	5955
63	417	6102
64	422	6072
65	424	6005
66	430	5995
67	439	6021
68	442	5964
69	445	5921
70	447	5858
71	455	5874
72	458	5820
73	460	5767
74	465	5736
75	469	5708
76	471	5657
77	484	5729
78	488	5693
79	492	5660
80	494	5614
81	501	5611
82	502	5549
83	510	5564
84	517	5565
85	525	5585
86	529	5553
87	538	5575
88	543	5562
89	545	5517
90	549	5485
91	555	5478
92	557	5441
93	559	5395
94	561	5346
95	562	5300
96	564	5257
97	568	5233
98	581	5289
99	583	5250
100	585	5212
101	587	5171
102	589	5131
103	591	5093
104	595	5078
105	599	5053
106	601	5018
107	603	4981
108	604	4943
109	608	4924
110	611	4896
111	620	4921
112	632	4965
113	641	4986
114	644	4961
115	647	4936
116	650	4909
117	663	4963
118	666	4932
119	670	4915
120	676	4914
121	678	4882
122	681	4859
123	688	4862
124	695	4865
125	697	4835
126	706	4853
127	712	4853
128	720	4864
129	726	4860
130	735	4876
131	740	4869
132	746	4868
133	750	4847
134	764	4895
135	767	4875
136	780	4915
137	790	4940
138	793	4917
139	798	4907
140	802	4889
141	809	4892
142	812	4872
143	821	4883
144	824	4861
145	827	4837
146	837	4860
147	840	4840
148	848	4844
149	851	4826
150	858	4828
151	867	4837
152	869	4812
153	877	4818
154	879	4792
155	881	4767
156	883	4745
157	886	4725
158	895	4737
159	904	4747
160	908	4733
161	916	4738
162	923	4741
163	926	4720
164	930	4708
165	937	4711
166	940	4690
167	942	4668
168	947	4659
169	957	4672
170	963	4672
171	969	4669
172	983	4701
173	999	4744
174	1011	4769
175	1018	4767
176	1022	4754
177	1050	4849
178	1068	4901
179	1123	5116
180	1138	5153
181	1151	5175
182	1171	5230
183	1174	5206
184	1179	5195
185	1189	5204
186	1201	5221
187	1204	5203
188	1211	5200
189	1214	5177
190	1217	5155
191	1224	5152
192	1227	5131
193	1230	5111
194	1233	5091
195	1235	5068
196	1240	5055
197	1242	5031
198	1243	5006
199	1245	4980
200	1246	4954
201	1248	4933
202	1250	4908
203	1251	4882
204	1257	4877
205	1259	4853
206	1262	4836
207	1264	4813
208	1265	4790
209	1278	4808
210	1281	4793
211	1295	4814
212	1297	4793
213	1302	4784
214	1304	4764
215	1307	4747
216	1309	4726
217	1321	4739
218	1324	4723
219	1326	4704
220	1330	4691
221	1332	4670
222	1334	4650
223	1336	4629
224	1337	4608
225	1340	4590
226	1342	4570
227	1354	4586
228	1364	4594
229	1366	4576
230	1369	4559
231	1371	4541
232	1376	4530
233	1379	4516
234	1385	4511
235	1387	4493
236	1395	4491
237	1399	4480
238	1401	4463
239	1403	4443
240	1412	4449
241	1419	4447
242	1425	4440
243	1431	4434
244	1444	4450
245	1447	4435
246	1451	4423
247	1454	4409
248	1456	4393
249	1458	4375
250	1460	4358
251	1462	4341
252	1466	4330
253	1468	4312
254	1472	4302
255	1474	4285
256	1476	4268
257	1482	4263
258	1484	4247
259	1490	4243
260	1499	4244
261	1503	4234
262	1505	4218
263	1508	4206
264	1513	4197
265	1517	4187
266	1519	4172
267	1521	4155
268	1522	4137
269	1523	4120
270	1526	4105
271	1527	4088
272	1534	4087
273	1537	4075
274	1541	4063
275	1544	4052
276	1546	4036
277	1548	4021
278	1550	4005
279	1553	3995
280	1556	3981
281	1560	3972
282	1564	3963
283	1566	3948
284	1570	3941
285	1573	3928
286	1580	3927
287	1593	3939
288	1596	3928
289	1600	3919
290	1603	3905
291	1609	3902
292	1611	3889
293	1618	3887
294	1620	3873
295	1622	3860
296	1625	3847
297	1627	3833
298	1646	3860
299	1655	3862
300	1657	3849
301	1663	3845
302	1666	3833
303	1668	3819
304	1670	3806
305	1672	3792
306	1674	3779
307	1677	3767
308	1679	3755
309	1684	3748
310	1688	3740
311	1696	3741
312	1698	3728
313	1701	3717
314	1703	3704
315	1707	3697
316	1709	3683
317	1712	3672
318	1714	3661
319	1716	3646
320	1717	3632
321	1718	3618
322	1720	3607
323	1722	3594
324	1726	3586
325	1729	3575
326	1731	3563
327	1732	3550
328	1736	3541
329	1737	3528
330	1739	3515
331	1740	3501
332	1741	3487
333	1742	3474
334	1744	3463
335	1745	3450
336	1747	3438
337	1748	3425
338	1751	3416
339	1753	3402
340	1754	3389
341	1755	3377
342	1759	3370
343	1761	3358
344	1767	3355
345	1776	3358
346	1784	3357
347	1787	3349
348	1795	3350
349	1798	3339
350	1800	3328
351	1808	3328
352	1819	3335
353	1821	3323
354	1823	3312
355	1825	3301
356	1827	3292
357	1832	3285
358	1835	3277
359	1839	3270
360	1845	3267
361	1849	3260
362	1851	3249
363	1854	3241
364	1866	3247
365	1875	3248
366	1877	3239
367	1884	3235
368	1892	3235
369	1895	3226
370	1897	3216
371	1898	3205
372	1902	3197
373	1908	3194
374	1913	3188
375	1916	3181
376	1924	3180
377	1927	3171
378	1931	3164
379	1936	3159
380	1938	3149
381	1940	3138
382	1941	3128
383	1945	3121
384	1950	3115
385	1951	3104
386	1954	3095
387	1956	3085
388	1957	3074
389	1958	3063
390	1959	3052
391	1964	3047
392	1965	3036
393	1967	3025
394	1968	3015
395	1969	3004
396	1971	2994
397	1972	2983
398	1973	2972
399	1974	2961
400	1977	2953
401	1978	2942
402	1979	2932
403	1986	2930
404	1988	2920
405	1990	2911
406	1994	2905
407	1995	2895
408	1996	2884
409	1998	2875
410	1999	2865
411	2000	2855
412	2001	2845
413	2002	2834
414	2003	2824
415	2005	2814
416	2006	2805
417	2008	2796
418	2013	2791
419	2014	2781
420	2015	2771
421	2016	2761
422	2018	2752
423	2020	2744
424	2022	2735
425	2027	2732
426	2029	2722
427	2030	2713
428	2031	2703
429	2036	2699
430	2037	2689
431	2038	2680
432	2039	2670
433	2040	2661
434	2041	2652
435	2042	2642
436	2044	2633
437	2045	2624
438	2045	2614
439	2046	2605
440	2048	2596
441	2049	2587
442	2050	2578
443	2055	2573
444	2056	2565
445	2058	2556
446	2060	2548
447	2067	2547
448	2069	2539
449	2070	2530
450	2071	2521
451	2072	2512
452	2073	2504
453	2074	2495
454	2075	2486
455	2076	2477
456	2080	2471
457	2081	2463
458	2082	2454
459	2083	2445
460	2085	2438
461	2088	2431
462	2093	2428
463	2097	2422
464	2099	2415
465	2105	2412
466	2107	2405
467	2111	2399
468	2113	2392
469	2115	2385
470	2116	2377
471	2117	2368
472	2119	2361
473	2121	2353
474	2122	2345
475	2127	2341
476	2128	2333
477	2130	2326
478	2131	2318
479	2132	2310
480	2139	2308
481	2140	2300
482	2142	2292
483	2143	2284
484	2144	2276
485	2145	2269
486	2147	2261
487	2153	2259
488	2155	2252
489	2160	2248
490	2161	2241
491	2163	2234
492	2166	2228
493	2167	2220
494	2170	2214
495	2171	2206
496	2172	2199
497	2174	2191
498	2175	2183
499	2176	2176
500	2177	2168
501	2177	2160
502	2182	2156
503	2184	2149
504	2185	2142
505	2187	2135
506	2188	2127
507	2189	2120
508	2190	2113
509	2192	2106
510	2198	2103
511	2205	2101
512	2206	2094
513	2208	2087
514	2212	2083
515	2216	2079
516	2218	2072
517	2220	2066
518	2222	2059
519	2223	2052
520	2224	2044
521	2227	2039
522	2228	2032
523	2229	2024
524	2232	2020
525	2234	2013
526	2237	2007
527	2241	2004
528	2243	1997
529	2247	1993
530	2249	1986
531	2250	1979
532	2251	1972
533	2253	1966
534	2254	1959
535	2257	1954
536	2259	1948
537	2260	1941
538	2262	1934
539	2263	1928
540	2265	1922
541	2267	1915
542	2268	1909
543	2271	1903
544	2278	1902
545	2293	1907
546	2296	1901
547	2298	1895
548	2300	1889
549	2306	1887
550	2311	1883
551	2315	1878
552	2318	1874
553	2342	1885
554	2344	1879
555	2346	1873
556	2349	1868
557	2357	1867
558	2368	1868
559	2372	1863
560	2374	1857
561	2381	1855
562	2388	1853
563	2397	1853
564	2400	1847
565	2402	1842
566	2404	1836
567	2407	1830
568	2414	1829
569	2418	1824
570	2420	1818
571	2422	1812
572	2425	1807
573	2427	1801
574	2435	1799
575	2447	1801
576	2449	1795
577	2453	1791
578	2457	1786
579	2460	1781
580	2466	1778
581	2469	1773
582	2472	1768
583	2474	1762
584	2477	1757
585	2479	1751
586	2481	1746
587	2483	1740
588	2488	1736
589	2489	1730
590	2490	1723
591	2491	1717
592	2493	1711
593	2494	1705
594	2496	1699
595	2497	1693
596	2498	1686
597	2499	1680
598	2501	1674
599	2503	1668
600	2506	1664
601	2510	1659
602	2512	1654
603	2514	1648
604	2517	1643
605	2519	1638
606	2520	1631
607	2521	1625
608	2522	1619
609	2523	1613
610	2525	1607
611	2526	1601
612	2527	1595
613	2528	1589
614	2531	1584
615	2532	1578
616	2533	1572
617	2538	1569
618	2539	1563
619	2540	1557
620	2542	1551
621	2542	1545
622	2545	1540
623	2547	1535
624	2553	1531
625	2554	1526
626	2555	1520
627	2556	1514
628	2557	1508
629	2560	1503
630	2561	1497
631	2562	1492
632	2563	1486
633	2564	1480
634	2565	1474
635	2567	1469
636	2568	1463
637	2569	1457
638	2570	1452
639	2571	1446
640	2572	1440
641	2572	1434
642	2577	1430
643	2583	1428
644	2585	1422
645	2586	1417
646	2590	1413
647	2591	1407
648	2593	1402
649	2594	1397
650	2595	1391
651	2596	1386
652	2598	1380
653	2599	1375
654	2600	1369
655	2601	1363
656	2602	1358
657	2605	1354
658	2606	1348
659	2608	1343
660	2610	1338
661	2611	1333
662	2612	1327
663	2613	1322
664	2614	1316
665	2615	1311
666	2616	1306
667	2618	1301
668	2619	1295
669	2623	1292
670	2624	1287
671	2626	1281
672	2629	1277
673	2630	1272
674	2632	1267
675	2635	1263
676	2636	1257
677	2637	1252
678	2638	1247
679	2639	1242
680	2640	1236
681	2641	1231
682	2642	1226
683	2643	1221
684	2644	1216
685	2645	1210
686	2647	1206
687	2648	1201
688	2650	1196
689	2651	1191
690	2652	1186
691	2653	1181
692	2654	1175
693	2655	1170
694	2656	1165
695	2657	1160
696	2658	1155
697	2666	1153
698	2668	1148
699	2669	1144
700	2670	1139
701	2672	1134
702	2673	1129
703	2674	1124
704	2676	1119
705	2678	1115
706	2681	1111
707	2682	1106
708	2683	1101
709	2684	1096
710	2685	1091
711	2686	1086
712	2687	1081
713	2687	1076
714	2688	1071
715	2690	1067
716	2692	1062
717	2696	1059
718	2698	1054
719	2699	1049
720	2701	1045
721	2702	1040
722	2703	1035
723	2703	1030
724	2708	1027
725	2710	1023
726	2711	1018
727	2712	1013
728	2714	1008
729	2715	1004
730	2716	999
731	2717	994
732	2717	990
733	2718	985
734	2720	980
735	2721	976
736	2723	971
737	2724	967
738	2728	963
739	2731	959
740	2738	957
741	2739	952
742	2740	947
743	2743	943
744	2744	939
745	2745	934
746	2747	930
747	2748	925
748	2754	922
749	2757	919
750	2758	914
751	2760	910
752	2761	905
753	2762	901
754	2763	896
755	2767	893
756	2772	890
757	2774	885
758	2776	881
759	2778	877
760	2779	872
761	2780	868
762	2782	864
763	2783	859
764	2784	855
765	2785	850
766	2786	846
767	2787	842
768	2788	837
769	2789	833
770	2790	828
771	2791	824
772	2792	819
773	2794	815
774	2797	812
775	2802	809
776	2806	805
777	2809	801
778	2815	798
779	2817	794
780	2820	790
781	2822	786
782	2824	782
783	2825	778
784	2828	774
785	2830	770
786	2831	766
787	2832	762
788	2834	757
789	2836	754
790	2839	750
791	2844	747
792	2846	743
793	2848	739
794	2852	735
795	2855	731
796	2857	727
797	2861	724
798	2863	720
799	2867	716
800	2869	712
801	2875	709
802	2877	706
803	2879	702
804	2883	698
805	2886	694
806	2894	692
807	2902	689
808	2908	686
809	2913	683
810	2916	679
811	2919	675
812	2927	673
813	2929	669
814	2931	665
815	2934	661
816	2938	658
817	2940	654
818	2942	650
819	2950	647
820	2961	645
821	2972	643
822	2976	640
823	2983	637
824	2995	635
825	2999	631
826	3001	627
827	3005	624
828	3022	623
829	3026	619
830	3031	616
831	3052	616
832	3057	612
833	3059	608
834	3065	605
835	3076	603
836	3082	600
837	3089	597
838	3091	593
839	3098	590
840	3101	586
841	3103	582
842	3105	578
843	3107	574
844	3111	570
845	3113	566
846	3118	563
847	3120	559
848	3122	555
849	3124	551
850	3126	547
851	3129	543
852	3131	539
853	3132	535
854	3134	531
855	3137	527
856	3143	524
857	3145	520
858	3146	516
859	3148	512
860	3150	508
861	3151	504
862	3152	500
863	3154	496
864	3156	492
865	3162	489
866	3164	485
867	3167	481
868	3169	477
869	3171	473
870	3172	469
871	3173	465
872	3174	461
873	3180	458
874	3182	454
875	3188	451
876	3195	448
877	3196	444
878	3202	440
879	3206	437
880	3208	433
881	3211	429
882	3217	426
883	3221	422
884	3223	418
885	3224	414
886	3225	410
887	3227	407
888	3228	403
889	3230	399
890	3232	395
891	3237	392
892	3239	388
893	3241	384
894	3243	380
895	3245	376
896	3246	372
897	3247	368
898	3248	365
899	3251	361
900	3252	357
901	3253	353
902	3254	349
903	3255	345
904	3256	341
905	3259	338
906	3260	334
907	3261	330
908	3267	327
909	3268	323
910	3269	319
911	3270	315
912	3271	311
913	3276	308
914	3280	304
915	3282	301
916	3286	297
917	3290	293
918	3292	290
919	3294	286
920	3295	282
921	3296	278
922	3297	275
923	3298	271
924	3299	267
925	3300	263
926	3303	260
927	3305	256
928	3307	252
929	3308	249
930	3309	245
931	3310	241
932	3312	237
933	3313	234
934	3314	230
935	3315	226
936	3316	222
937	3319	219
938	3320	215
939	3320	211
940	3321	208
941	3322	204
942	3324	200
943	3325	197
944	3327	193
945	3328	190
946	3329	186
947	3331	182
948	3332	179
949	3333	175
950	3339	172
951	3340	168
952	3342	164
953	3343	161
954	3345	157
955	3346	154
956	3348	150
957	3349	146
958	3350	143
959	3351	139
960	3352	136
961	3354	132
962	3355	128
963	3356	125
964	3357	121
965	3357	118
966	3360	114
967	3361	111
968	3362	107
969	3364	104
970	3365	100
971	3365	96
972	3366	93
973	3367	89
974	3368	86
975	3369	82
976	3370	79
977	3371	75
978	3372	72
979	3373	68
980	3374	65
981	3375	61
982	3381	58
983	3383	55
984	3384	51
985	3388	48
986	3393	44
987	3396	41
988	3397	37
989	3399	34
990	3400	30
991	3401	27
992	3402	23
993	3405	20
994	3408	17
995	3413	13
996	3414	10
997	3415	6
